table,ansatz,model_tag,ic_idx,problem,final_time,N,mean_flux_error_reduction,std_flux_error_reduction,num_tests,paper_table_cell
1d_reeds,constant,best_sweep_n3_10x,6,Reeds,5.0,3,0.8637881278991699,0.006607791408896446,10,0.8638 ± 0.0066
1d_reeds,constant,best_sweep_n3_10x,6,Reeds,10.0,3,0.821541428565979,0.007673418615013361,10,0.8215 ± 0.0077
