table,ansatz,model_tag,ic_idx,problem,final_time,N,mean_flux_error_reduction,std_flux_error_reduction,num_tests,paper_table_cell
1d_reeds,nn,best_sweep_n3_10x,6,Reeds,5.0,3,0.4492522180080414,0.009926759637892246,10,0.4493 ± 0.0099
1d_reeds,nn,best_sweep_n3_10x,6,Reeds,10.0,3,0.7526055574417114,0.012824762612581253,10,0.7526 ± 0.0128
