table,ansatz,model_tag,ic_idx,problem,final_time,N,mean_flux_error_reduction,std_flux_error_reduction,num_tests,paper_table_cell
1d_reeds,constant,paper_constant_baseline,6,Reeds,5.0,3,0.2612535357475281,0.00018086322234012187,10,0.2613 ± 0.0002
1d_reeds,constant,paper_constant_baseline,6,Reeds,10.0,3,0.5549744367599487,4.3635667680064216e-05,10,0.5550 ± 0.0000
